Round,Loss,Accuracy,total_time_s
1,0.8133841156959534,0.3896103799343109,198.22
2,0.8053104877471924,0.3896103799343109,198.22
3,0.7975988984107971,0.40909090638160706,198.22
4,0.7901907563209534,0.44155845046043396,198.22
5,0.782992422580719,0.4545454680919647,198.22
6,0.7760002017021179,0.4675324559211731,198.22
7,0.7691591382026672,0.48701298236846924,198.22
8,0.7625628113746643,0.5064935088157654,198.22
9,0.7561644315719604,0.5259740352630615,198.22
10,0.7499573230743408,0.5389610528945923,198.22
11,0.743879497051239,0.551948070526123,198.22
12,0.7378352880477905,0.551948070526123,198.22
13,0.7319105863571167,0.5714285969734192,198.22
14,0.7261090874671936,0.5779221057891846,198.22
15,0.7204588651657104,0.5779221057891846,198.22
16,0.7150239944458008,0.5779221057891846,198.22
17,0.7098264098167419,0.5844155550003052,198.22
18,0.7047814726829529,0.5844155550003052,198.22
19,0.6999557018280029,0.5844155550003052,198.22
20,0.6953141689300537,0.5844155550003052,198.22
